title,description,category,location,budgetMin,budgetMax,createdAt,status
Urgente plomero en Palermo,Necesito plomero YA. Se rompió caño debajo de la pileta de la cocina y está inundando todo. Depto en Palermo Soho. Pago en efectivo o transferencia.,Plumbing,Palermo,15000,25000,2025-11-29T14:30:00Z,open
Pintor para living comedor,Busco pintor para pintar living-comedor de 30m2. Paredes en buen estado. Tengo la pintura. Zona Belgrano R. Cuánto sale?,Painting,Belgrano,40000,60000,2025-11-28T10:15:00Z,open
Electricista matriculado CABA,Necesito electricista matriculado para hacer certificación de instalación eléctrica para venta de depto. Recoleta. Urgente.,Electrical,Recoleta,50000,80000,2025-11-27T16:45:00Z,open
Mudanza Caballito a Núñez,Mudanza de depto 2 ambientes. Pocos muebles. Para el finde que viene. Presupuesto?,Moving,Caballito,80000,120000,2025-11-29T09:20:00Z,open
Gasista para termotanque,Se apagó el termotanque y no prende. Necesito gasista matriculado. Villa Crespo. Cuánto cobran?,Plumbing,Villa Crespo,20000,35000,2025-11-26T11:30:00Z,open
Limpieza profunda depto,Limpieza profunda de depto 3 ambientes antes de mudarme. Almagro. Para esta semana.,Cleaning,Almagro,25000,40000,2025-11-28T13:00:00Z,open
Carpintero para placard,Necesito arreglar puertas de placard que se salieron de las guías. Palermo. Urgente.,Carpentry,Palermo,15000,25000,2025-11-29T15:45:00Z,open
Aire acondicionado no enfría,Tengo un split que no enfría. Necesito service. Belgrano. Cuánto sale la visita?,Air Conditioning,Belgrano,30000,50000,2025-11-27T14:20:00Z,open
Cerrajero urgente Recoleta,Me quedé afuera de casa. Necesito cerrajero YA. Recoleta.,Locksmith,Recoleta,25000,40000,2025-11-29T18:30:00Z,open
Fumigación de cucarachas,Invasión de cucarachas en cocina. Necesito fumigación urgente. Caballito.,Pest Control,Caballito,20000,35000,2025-11-28T08:15:00Z,open
Pintor para frente de casa,Pintura exterior de frente de casa 2 pisos. La Plata. Tengo andamio.,Painting,La Plata,120000,180000,2025-11-26T10:00:00Z,open
Plomero para baño,Pérdida en inodoro. No para de correr agua. Villa Crespo. Cuánto cobran?,Plumbing,Villa Crespo,12000,20000,2025-11-29T12:00:00Z,open
Electricista para cambiar térmica,Salta la térmica todo el tiempo. Necesito electricista. Núñez.,Electrical,Núñez,25000,40000,2025-11-27T09:30:00Z,open
Jardinero para poda,Poda de árboles y limpieza de jardín. Casa en Belgrano. Para el finde.,Gardening,Belgrano,30000,50000,2025-11-28T11:45:00Z,open
Limpieza de obra,Limpieza post obra de depto. Mucho polvo y escombros. Palermo.,Cleaning,Palermo,40000,60000,2025-11-26T14:00:00Z,open
Instalación de cortinas,Instalación de cortinas roller en 4 ventanas. Recoleta. Tengo las cortinas.,Carpentry,Recoleta,15000,25000,2025-11-29T10:30:00Z,open
Service de aire acondicionado,Service preventivo de 3 splits. Caballito. Cuánto sale?,Air Conditioning,Caballito,45000,70000,2025-11-27T13:15:00Z,open
Copia de llaves,Necesito hacer copias de llaves de casa. Almagro. Dónde puedo ir?,Locksmith,Almagro,5000,10000,2025-11-28T16:20:00Z,open
Control de hormigas,Hormigas en toda la casa. Necesito control de plagas. Villa Crespo.,Pest Control,Villa Crespo,18000,30000,2025-11-29T09:00:00Z,open
Pintura de habitación,Pintar una habitación de 12m2. Palermo. Tengo la pintura. Cuánto cobran?,Painting,Palermo,25000,40000,2025-11-26T15:30:00Z,open
Destape de cañería,Cañería tapada en baño. Necesito destapista urgente. Belgrano.,Plumbing,Belgrano,18000,30000,2025-11-28T17:45:00Z,open
Instalación de ventilador de techo,Instalación de 2 ventiladores de techo. Recoleta. Tengo los ventiladores.,Electrical,Recoleta,20000,35000,2025-11-27T11:00:00Z,open
Poda de césped,Corte de césped y limpieza de jardín. Núñez. Para esta semana.,Gardening,Núñez,15000,25000,2025-11-29T14:15:00Z,open
Limpieza semanal,Busco limpieza semanal para depto 2 ambientes. Caballito. Cuánto cobran por mes?,Cleaning,Caballito,60000,90000,2025-11-26T12:30:00Z,open
Arreglo de puerta,Puerta de entrada no cierra bien. Necesito carpintero. Almagro.,Carpentry,Almagro,12000,20000,2025-11-28T10:45:00Z,open
Carga de gas aire acondicionado,Split no enfría. Creo que necesita gas. Villa Crespo. Cuánto sale?,Air Conditioning,Villa Crespo,35000,55000,2025-11-29T13:30:00Z,open
Cambio de cerradura,Quiero cambiar cerradura de puerta de entrada. Palermo. Recomendaciones?,Locksmith,Palermo,30000,50000,2025-11-27T15:00:00Z,open
Desratización,Vi ratas en el sótano. Necesito desratización urgente. Belgrano.,Pest Control,Belgrano,25000,40000,2025-11-28T09:15:00Z,open
Pintura de cocina,Pintar cocina y baño. Recoleta. Aprox 20m2 total. Presupuesto?,Painting,Recoleta,35000,55000,2025-11-26T16:45:00Z,open
Cambio de canilla,Canilla de cocina pierde agua. Necesito plomero. Caballito.,Plumbing,Caballito,10000,18000,2025-11-29T11:20:00Z,open
Instalación de lámpara,Instalación de araña en living. Núñez. Tengo la lámpara.,Electrical,Núñez,15000,25000,2025-11-27T14:30:00Z,open
Diseño de jardín,Diseño y armado de jardín en terraza. Almagro. 15m2.,Gardening,Almagro,80000,120000,2025-11-28T12:00:00Z,open
Limpieza de alfombras,Limpieza profunda de 3 alfombras grandes. Villa Crespo.,Cleaning,Villa Crespo,20000,35000,2025-11-29T10:00:00Z,open
Mueble a medida,Mueble bajo mesada para cocina. Palermo. Necesito presupuesto.,Carpentry,Palermo,60000,100000,2025-11-26T13:15:00Z,open
Instalación de aire,Instalación de split 3500 frigorías. Belgrano. Tengo el equipo.,Air Conditioning,Belgrano,45000,70000,2025-11-28T15:45:00Z,open
Apertura de puerta,Cerradura trabada. No puedo abrir puerta. Recoleta. Urgente.,Locksmith,Recoleta,20000,35000,2025-11-29T17:00:00Z,open
Tratamiento de termitas,Tengo termitas en muebles de madera. Caballito. Necesito tratamiento.,Pest Control,Caballito,30000,50000,2025-11-27T10:30:00Z,open
Empapelado de pared,Empapelar pared de dormitorio. Núñez. 12m2. Tengo el papel.,Painting,Núñez,25000,40000,2025-11-28T14:00:00Z,open
Arreglo de pérdida,Pérdida de agua en baño. Necesito plomero urgente. Almagro.,Plumbing,Almagro,15000,25000,2025-11-26T11:45:00Z,open
Cambio de disyuntor,Disyuntor viejo. Necesito cambio. Villa Crespo. Electricista matriculado.,Electrical,Villa Crespo,30000,50000,2025-11-29T09:30:00Z,open
Mantenimiento de jardín,Mantenimiento mensual de jardín. Palermo. Cuánto cobran por mes?,Gardening,Palermo,40000,60000,2025-11-27T16:15:00Z,open
Limpieza de vidrios,Limpieza de ventanas y vidrios. Edificio 5to piso. Belgrano.,Cleaning,Belgrano,18000,30000,2025-11-28T11:00:00Z,open
Estantería a medida,Estantería de pared para libros. Recoleta. 2 metros de largo.,Carpentry,Recoleta,40000,65000,2025-11-29T13:00:00Z,open
Limpieza de filtros AA,Limpieza de filtros de 2 aires acondicionados. Caballito.,Air Conditioning,Caballito,15000,25000,2025-11-26T14:45:00Z,open
Duplicado de llave codificada,Duplicado de llave codificada de auto. Núñez. Dónde puedo hacerla?,Locksmith,Núñez,25000,40000,2025-11-28T10:15:00Z,open
Fumigación preventiva,Fumigación preventiva de depto. Almagro. Cuánto sale?,Pest Control,Almagro,15000,25000,2025-11-29T15:30:00Z,open
Pintura de fachada,Pintura de frente de edificio. Villa Crespo. 3 pisos. Presupuesto?,Painting,Villa Crespo,200000,300000,2025-11-27T12:45:00Z,open
Instalación de bidet,Instalación de bidet nuevo. Palermo. Tengo el bidet.,Plumbing,Palermo,20000,35000,2025-11-28T09:00:00Z,open
Arreglo de enchufe,Enchufe no funciona. Necesito electricista. Belgrano.,Electrical,Belgrano,12000,20000,2025-11-26T15:15:00Z,open
Poda de árboles altos,Poda de árboles de más de 5 metros. Recoleta. Necesito presupuesto.,Gardening,Recoleta,50000,80000,2025-11-29T11:45:00Z,open
Limpieza de mudanza,Limpieza completa post mudanza. Caballito. Depto 3 ambientes.,Cleaning,Caballito,30000,50000,2025-11-27T13:30:00Z,open
Reparación de cajones,Cajones de cómoda no abren bien. Núñez. Necesito carpintero.,Carpentry,Núñez,15000,25000,2025-11-28T16:00:00Z,open
Reparación de aire,Aire hace ruido raro. Almagro. Necesito service urgente.,Air Conditioning,Almagro,25000,40000,2025-11-29T10:15:00Z,open
Instalación de cerradura digital,Instalación de cerradura digital. Villa Crespo. Tengo la cerradura.,Locksmith,Villa Crespo,35000,55000,2025-11-26T12:00:00Z,open
Control de mosquitos,Muchos mosquitos en el jardín. Palermo. Necesito fumigación.,Pest Control,Palermo,20000,35000,2025-11-28T14:30:00Z,open
Pintura de rejas,Pintura de rejas de frente. Belgrano. Aprox 10 metros.,Painting,Belgrano,30000,50000,2025-11-27T11:15:00Z,open
Cambio de mochila de inodoro,Mochila de inodoro rota. Recoleta. Necesito plomero.,Plumbing,Recoleta,15000,25000,2025-11-29T14:00:00Z,open
Instalación de toma corriente,Instalación de 3 tomas nuevas. Caballito. Cuánto cobran?,Electrical,Caballito,25000,40000,2025-11-26T10:45:00Z,open
Sistema de riego,Instalación de sistema de riego automático. Núñez. Jardín 30m2.,Gardening,Núñez,80000,120000,2025-11-28T15:00:00Z,open
Limpieza de tapizados,Limpieza de sillón y sillas tapizadas. Almagro.,Cleaning,Almagro,18000,30000,2025-11-29T12:30:00Z,open
Armado de muebles,Armado de muebles de IKEA. Villa Crespo. 3 muebles.,Carpentry,Villa Crespo,20000,35000,2025-11-27T09:45:00Z,open
Desinstalación de aire,Desinstalar aire viejo para poner uno nuevo. Palermo.,Air Conditioning,Palermo,15000,25000,2025-11-28T13:15:00Z,open
Cambio de bombín,Cambio de bombín de cerradura. Belgrano. Tengo el bombín.,Locksmith,Belgrano,12000,20000,2025-11-26T16:30:00Z,open
Desinsectación,Bichos bolita en el jardín. Recoleta. Necesito tratamiento.,Pest Control,Recoleta,15000,25000,2025-11-29T11:00:00Z,open
Pintura de portón,Pintura de portón de garage. Caballito. Lijado y pintura.,Painting,Caballito,35000,55000,2025-11-27T14:45:00Z,open
Reparación de canilla,Canilla de baño gotea. Núñez. Necesito plomero.,Plumbing,Núñez,10000,18000,2025-11-28T10:30:00Z,open
Cambio de cableado,Cableado viejo. Necesito cambio completo. Almagro. Electricista matriculado.,Electrical,Almagro,150000,250000,2025-11-29T15:00:00Z,open
Transplante de plantas,Transplante de plantas grandes. Villa Crespo. Necesito jardinero.,Gardening,Villa Crespo,20000,35000,2025-11-26T13:45:00Z,open
Limpieza de cortinas,Limpieza de cortinas de living. Palermo. 4 paños.,Cleaning,Palermo,15000,25000,2025-11-28T12:15:00Z,open
Reparación de mesa,Mesa de madera con pata floja. Belgrano. Necesito carpintero.,Carpentry,Belgrano,12000,20000,2025-11-27T10:00:00Z,open
Instalación de AA central,Instalación de aire central. Recoleta. Casa 3 dormitorios.,Air Conditioning,Recoleta,200000,300000,2025-11-29T13:45:00Z,open
Copia de llave de auto,Copia de llave con chip de auto. Caballito. Cuánto sale?,Locksmith,Caballito,40000,60000,2025-11-26T15:00:00Z,open
Tratamiento de pulgas,Pulgas en el depto. Núñez. Necesito fumigación urgente.,Pest Control,Núñez,20000,35000,2025-11-28T11:30:00Z,open
Pintura de balcón,Pintura de balcón. Almagro. 8m2. Impermeabilización incluida.,Painting,Almagro,40000,65000,2025-11-29T10:45:00Z,open
Instalación de pileta,Instalación de pileta de cocina. Villa Crespo. Tengo la pileta.,Plumbing,Villa Crespo,25000,40000,2025-11-27T16:00:00Z,open
Arreglo de timbre,Timbre no funciona. Palermo. Necesito electricista.,Electrical,Palermo,10000,18000,2025-11-28T14:15:00Z,open
Corte de pasto,Corte de pasto y limpieza. Belgrano. Jardín 50m2.,Gardening,Belgrano,15000,25000,2025-11-26T11:30:00Z,open
Limpieza de cochera,Limpieza de cochera con mucha mugre. Recoleta.,Cleaning,Recoleta,12000,20000,2025-11-29T09:15:00Z,open
Puerta de placard,Hacer puerta de placard a medida. Caballito. 2 metros de alto.,Carpentry,Caballito,50000,80000,2025-11-27T13:00:00Z,open
Reparación de control remoto AA,Control remoto de aire no funciona. Núñez. Service?,Air Conditioning,Núñez,15000,25000,2025-11-28T15:30:00Z,open
Instalación de cerrojo,Instalación de cerrojo de seguridad. Almagro. Tengo el cerrojo.,Locksmith,Almagro,15000,25000,2025-11-29T12:00:00Z,open
Desinfección,Desinfección completa de depto. Villa Crespo. Post COVID.,Pest Control,Villa Crespo,25000,40000,2025-11-26T14:15:00Z,open
Pintura de techo,Pintura de techo con humedad. Palermo. Necesito tratamiento previo.,Painting,Palermo,45000,70000,2025-11-28T11:45:00Z,open
Cambio de griferías,Cambio de griferías de baño. Belgrano. Tengo las griferías.,Plumbing,Belgrano,20000,35000,2025-11-27T09:30:00Z,open
Instalación de lámpara exterior,Instalación de lámpara en jardín. Recoleta. Cableado incluido.,Electrical,Recoleta,30000,50000,2025-11-29T14:30:00Z,open
Plantación de césped,Plantación de césped en jardín. Caballito. 40m2.,Gardening,Caballito,60000,90000,2025-11-26T16:00:00Z,open
Limpieza de terraza,Limpieza de terraza con mucho polvo. Núñez.,Cleaning,Núñez,15000,25000,2025-11-28 T13:45:00Z,open
Reparación de silla,Silla de madera rota. Almagro. Necesito carpintero.,Carpentry,Almagro,10000,18000,2025-11-29T11:30:00Z,open
Mantenimiento preventivo AA,Mantenimiento preventivo de aire. Villa Crespo. 1 split.,Air Conditioning,Villa Crespo,18000,30000,2025-11-27T15:15:00Z,open
Apertura de caja fuerte,Olvidé combinación de caja fuerte. Palermo. Cerrajero urgente.,Locksmith,Palermo,50000,80000,2025-11-28T10:00:00Z,open
Control de arañas,Muchas arañas en el sótano. Belgrano. Necesito fumigación.,Pest Control,Belgrano,18000,30000,2025-11-26T12:45:00Z,open
Pintura de muebles,Pintura de muebles de madera. Recoleta. 3 muebles.,Painting,Recoleta,30000,50000,2025-11-29T13:15:00Z,open
Destape de desagüe,Desagüe de ducha tapado. Caballito. Necesito plomero urgente.,Plumbing,Caballito,15000,25000,2025-11-27T11:45:00Z,open
Instalación de ventilador,Instalación de ventilador de pie. Núñez. Tengo el ventilador.,Electrical,Núñez,12000,20000,2025-11-28T16:30:00Z,open
Fertilización de césped,Fertilización y tratamiento de césped. Almagro. 30m2.,Gardening,Almagro,25000,40000,2025-11-29T10:30:00Z,open
Limpieza de horno,Limpieza profunda de horno. Villa Crespo.,Cleaning,Villa Crespo,10000,18000,2025-11-26T14:00:00Z,open
Escritorio a medida,Escritorio de madera a medida. Palermo. 1.5m x 0.6m.,Carpentry,Palermo,70000,110000,2025-11-28T12:30:00Z,open
Instalación de AA portátil,Instalación de aire portátil. Belgrano. Tengo el equipo.,Air Conditioning,Belgrano,15000,25000,2025-11-27T14:00:00Z,open
Cambio de cilindro,Cambio de cilindro de cerradura. Recoleta. Tengo el cilindro.,Locksmith,Recoleta,15000,25000,2025-11-29T15:45:00Z,open
Eliminación de chinches,Chinches en colchón. Caballito. Necesito tratamiento urgente.,Pest Control,Caballito,35000,55000,2025-11-26T11:00:00Z,open
Pintura de radiador,Pintura de radiadores de calefacción. Núñez. 4 radiadores.,Painting,Núñez,25000,40000,2025-11-28T09:45:00Z,open
Cambio de flotante,Flotante de mochila roto. Almagro. Necesito plomero.,Plumbing,Almagro,12000,20000,2025-11-29T12:15:00Z,open
Instalación de extractor,Instalación de extractor de baño. Villa Crespo. Tengo el extractor.,Electrical,Villa Crespo,18000,30000,2025-11-27T10:15:00Z,open
Poda de rosales,Poda de rosales y arbustos. Palermo. Jardín 20m2.,Gardening,Palermo,20000,35000,2025-11-28T15:00:00Z,open
Limpieza de persianas,Limpieza de persianas de PVC. Belgrano. 6 ventanas.,Cleaning,Belgrano,15000,25000,2025-11-26T13:30:00Z,open
Reparación de puerta corrediza,Puerta de placard corrediza salida de guía. Recoleta.,Carpentry,Recoleta,15000,25000,2025-11-29T11:15:00Z,open
Recarga de gas AA,Aire no enfría. Necesita gas. Caballito. Cuánto sale la recarga?,Air Conditioning,Caballito,30000,50000,2025-11-27T16:45:00Z,open
Instalación de ojo mágico,Instalación de ojo mágico en puerta. Núñez. Tengo el ojo.,Locksmith,Núñez,10000,18000,2025-11-28T12:00:00Z,open
Tratamiento de polillas,Polillas en el placard. Almagro. Necesito fumigación.,Pest Control,Almagro,18000,30000,2025-11-29T14:45:00Z,open
Pintura de ventanas,Pintura de marcos de ventanas. Villa Crespo. 5 ventanas.,Painting,Villa Crespo,30000,50000,2025-11-26T15:45:00Z,open
Instalación de ducha eléctrica,Instalación de ducha eléctrica. Palermo. Tengo la ducha.,Plumbing,Palermo,25000,40000,2025-11-28T11:15:00Z,open
Cambio de llave térmica,Llave térmica vieja. Belgrano. Necesito electricista matriculado.,Electrical,Belgrano,20000,35000,2025-11-27T13:45:00Z,open
Instalación de riego por goteo,Sistema de riego por goteo. Recoleta. Balcón con plantas.,Gardening,Recoleta,30000,50000,2025-11-29T10:00:00Z,open
Limpieza de balcón,Limpieza de balcón con mucha tierra. Caballito.,Cleaning,Caballito,12000,20000,2025-11-26T10:30:00Z,open
Mesa ratona a medida,Mesa ratona de madera. Núñez. 80cm x 80cm.,Carpentry,Núñez,45000,70000,2025-11-28T14:45:00Z,open
Limpieza de condensador AA,Limpieza de condensador de aire. Almagro. Está muy sucio.,Air Conditioning,Almagro,20000,35000,2025-11-29T13:00:00Z,open
Copia de llave Yale,Copia de llave Yale de puerta. Villa Crespo. Dónde puedo hacerla?,Locksmith,Villa Crespo,8000,15000,2025-11-27T12:30:00Z,open
Fumigación de jardín,Fumigación de jardín. Palermo. Muchos insectos.,Pest Control,Palermo,25000,40000,2025-11-28T16:15:00Z,open
Pintura de deck,Pintura de deck de madera. Belgrano. 15m2. Lijado incluido.,Painting,Belgrano,60000,95000,2025-11-26T14:30:00Z,open
Cambio de sifón,Sifón de lavatorio roto. Recoleta. Necesito plomero.,Plumbing,Recoleta,12000,20000,2025-11-29T09:45:00Z,open
Instalación de reflector,Instalación de reflector LED en jardín. Caballito. Tengo el reflector.,Electrical,Caballito,18000,30000,2025-11-27T15:30:00Z,open
Corte de seto,Corte de seto y limpieza. Núñez. Seto de 10 metros.,Gardening,Núñez,20000,35000,2025-11-28T11:00:00Z,open
Limpieza de pileta,Limpieza de pileta de natación. Almagro. Pileta 4x8m.,Cleaning,Almagro,30000,50000,2025-11-29T15:15:00Z,open
Biblioteca a medida,Biblioteca de pared. Villa Crespo. 2.5m de alto x 2m de ancho.,Carpentry,Villa Crespo,90000,140000,2025-11-26T12:15:00Z,open
Reparación de fuga AA,Aire pierde agua. Palermo. Necesito service urgente.,Air Conditioning,Palermo,25000,40000,2025-11-28T13:00:00Z,open
Instalación de traba ventana,Instalación de trabas de seguridad en ventanas. Belgrano. 4 ventanas.,Locksmith,Belgrano,20000,35000,2025-11-27T11:30:00Z,open
Control de moscas,Muchas moscas en cocina. Recoleta. Necesito fumigación.,Pest Control,Recoleta,15000,25000,2025-11-29T12:45:00Z,open
Pintura de escalera,Pintura de escalera interna. Caballito. 2 pisos.,Painting,Caballito,40000,65000,2025-11-26T16:15:00Z,open
Instalación de termotanque,Instalación de termotanque nuevo. Núñez. Tengo el termotanque.,Plumbing,Núñez,30000,50000,2025-11-28T10:45:00Z,open
Cambio de tablero eléctrico,Tablero eléctrico viejo. Almagro. Necesito cambio completo.,Electrical,Almagro,80000,120000,2025-11-29T14:15:00Z,open
Plantación de árboles,Plantación de 3 árboles frutales. Villa Crespo.,Gardening,Villa Crespo,40000,60000,2025-11-27T14:30:00Z,open
Limpieza de garage,Limpieza de garage con escombros. Palermo.,Cleaning,Palermo,25000,40000,2025-11-28T12:45:00Z,open
Reparación de cajonera,Cajonera con cajones trabados. Belgrano. Necesito carpintero.,Carpentry,Belgrano,15000,25000,2025-11-26T11:15:00Z,open
Instalación de AA inverter,Instalación de aire inverter. Recoleta. Tengo el equipo.,Air Conditioning,Recoleta,50000,80000,2025-11-29T11:45:00Z,open
